sharedLLM	MGspeLLM	MDMspeLLM
NA	NA	Map4k1
NA	NA	Ryr1
NA	NA	Rasgrp4
NA	NA	Spint2
NA	NA	Ppp1r14a
NA	NA	Dmkn
NA	NA	Ffar2
NA	NA	Cd22
NA	NA	Lsr
NA	NA	Scn1b
NA	NA	Plekhf1
NA	NA	Pop4
NA	NA	Zfp976
NA	NA	Siglecg
NA	NA	Siglece
NA	NA	Klk8
NA	NA	Napsa
NA	NA	Cd37
NA	NA	Rpl18
NA	NA	Sult2b1
NA	NA	Tmem86a
NA	NA	Ptpn5
NA	NA	Nav2
NA	NA	Cyfip1
NA	NA	Klf13
NA	NA	Tjp1
NA	NA	Arrdc4
NA	NA	Slco3a1
NA	NA	Isg20
NA	NA	Anpep
NA	NA	Prc1
NA	NA	Tmem135
NA	NA	Picalm
NA	NA	Tmem126b
NA	NA	Prcp
NA	NA	Kctd14
NA	NA	Pak1
NA	NA	Wnt11
NA	NA	Uvrag
NA	NA	Slco2b1
NA	NA	Kcne3
NA	NA	Plekhb1
NA	NA	P2ry6
NA	NA	Il18bp
NA	NA	Nup98
NA	NA	Rrm1
NA	NA	Tpp1
NA	NA	Tmem9b
NA	NA	Mical2
NA	NA	Nucb2
NA	NA	Arl6ip1
NA	NA	Coq7
NA	NA	Il21r
NA	NA	Sult1a1
NA	NA	Coro1a
NA	NA	Kif22
NA	NA	Itgam
NA	NA	Itgax
NA	NA	Itgad
NA	NA	Plekha1
NA	NA	Htra1
NA	NA	Mki67
NA	NA	Paox
NA	NA	Ifitm2
NA	NA	Ifitm1
NA	NA	Ifitm3
NA	NA	Ifitm6
NA	NA	Pkp3
NA	NA	Sigirr
NA	NA	Irf7
NA	NA	Eps8l2
NA	NA	Tspan4
NA	NA	Ctsd
NA	NA	Lsp1
NA	NA	Tspan32
NA	NA	Cd81
NA	NA	Cars
NA	NA	Mcemp1
NA	NA	Cd209a
NA	NA	Cd209d
NA	NA	Cd209c
NA	NA	Shcbp1
NA	NA	Lamp1
NA	NA	Gas6
NA	NA	Cln8
NA	NA	Arhgef10
NA	NA	Kbtbd11
NA	NA	Ckap2
NA	NA	Polb
NA	NA	Ikbkb
NA	NA	Fgfr1
NA	NA	Nsd3
NA	NA	Hgsnat
NA	NA	Rab11fip1
NA	NA	Fut10
NA	NA	Nrg1
NA	NA	Slc7a2
NA	NA	Mtus1
NA	NA	Neil3
NA	NA	Gpm6a
NA	NA	Scrg1
NA	NA	Hpf1
NA	NA	Atp6v1b2
NA	NA	Lzts1
NA	NA	Ncan
NA	NA	Gdf15
NA	NA	Pgpep1
NA	NA	Rpl18a
NA	NA	Slc27a1
NA	NA	Hsh2d
NA	NA	Ednra
NA	NA	Zfp827
NA	NA	Scoc
NA	NA	Asf1b
NA	NA	D8Ertd738e
NA	NA	Mri1
NA	NA	Lyl1
NA	NA	Dnase2a
NA	NA	Gpt2
NA	NA	Snx20
NA	NA	Nod2
NA	NA	Sall1
NA	NA	Mmp2
NA	NA	Lpcat2
NA	NA	Ccl22
NA	NA	Ccl17
NA	NA	Ccdc102a
NA	NA	Adgrg5
NA	NA	Adgrg1
NA	NA	Slc38a7
NA	NA	Pdp2
NA	NA	Tppp3
NA	NA	Pla2g15
NA	NA	Zfp90
NA	NA	Cdh1
NA	NA	Cog4
NA	NA	Gabarapl2
NA	NA	Maf
NA	NA	Pkd1l2
NA	NA	Cmip
NA	NA	Osgin1
NA	NA	Emc8
NA	NA	Slc7a5
NA	NA	Galns
NA	NA	Cbfa2t3
NA	NA	Ankrd11
NA	NA	Rpl13
NA	NA	Nrp1
NA	NA	Casp12
NA	NA	Tmem123
NA	NA	Birc2
NA	NA	Slc36a4
NA	NA	Fat3
NA	NA	Olfm2
NA	NA	Cdkn2d
NA	NA	Slc44a2
NA	NA	Ldlr
NA	NA	Spc24
NA	NA	Epor
NA	NA	Anln
NA	NA	Dpy19l1
NA	NA	St14
NA	NA	St3gal4
NA	NA	Slc37a2
NA	NA	Siae
NA	NA	Tbrg1
NA	NA	Nectin1
NA	NA	Rps25
NA	NA	Ddx6
NA	NA	Jaml
NA	NA	Scn2b
NA	NA	Cadm1
NA	NA	Plet1
NA	NA	Pih1d2
NA	NA	Fbxo22
NA	NA	Tspan3
NA	NA	Ppcdc
NA	NA	Scamp5
NA	NA	Mpi
NA	NA	Scamp2
NA	NA	Csk
NA	NA	Cyp11a1
NA	NA	Arih1
NA	NA	Hexa
NA	NA	Tle3
NA	NA	Clpx
NA	NA	Pclaf
NA	NA	Tln2
NA	NA	Myo1e
NA	NA	Ccnb2
NA	NA	Adam10
NA	NA	Aqp9
NA	NA	Cgnl1
NA	NA	Elovl5
NA	NA	Eef1a1
NA	NA	Slc17a5
NA	NA	Tent5a
NA	NA	Nt5e
NA	NA	Bcl2a1d
NA	NA	Bcl2a1a
NA	NA	Minar1
NA	NA	Plscr1
NA	NA	Plscr2
NA	NA	Slc9a9
NA	NA	Chst2
NA	NA	Rbp1
NA	NA	Ryk
NA	NA	Trf
NA	NA	Ppm1m
NA	NA	Tex264
NA	NA	Mapkapk3
NA	NA	Cish
NA	NA	Rassf1
NA	NA	Uba7
NA	NA	Impdh2
NA	NA	Slc25a20
NA	NA	Prkar2a
NA	NA	Plxnb1
NA	NA	Nbeal2
NA	NA	Ccdc12
NA	NA	Lrrfip2
NA	NA	Crtap
NA	NA	Glb1
NA	NA	Tgfbr2
NA	NA	Myd88
NA	NA	Cx3cr1
NA	NA	Csrnp1
NA	NA	Slc25a38
NA	NA	Rpsa
NA	NA	Entpd3
NA	NA	Rpl14
NA	NA	Ccr9
NA	NA	Cxcr6
NA	NA	Xcr1
NA	NA	Ccr1
NA	NA	Ccr3
NA	NA	Ccr2
NA	NA	Plp2
NA	NA	Timm17b
NA	NA	Pcsk1n
NA	NA	Tspan7
NA	NA	Cask
NA	NA	Gpr34
NA	NA	Gpr82
NA	NA	Slc9a7
NA	NA	Cfp
NA	NA	Septin6
NA	NA	Lamp2
NA	NA	Mbnl3
NA	NA	Smim10l2a
NA	NA	Abcd1
NA	NA	L1cam
NA	NA	Renbp
NA	NA	Flna
NA	NA	Rpl10
NA	NA	Mpp1
NA	NA	Stard8
NA	NA	Rps4x
NA	NA	Zdhhc15
NA	NA	Tlr13
NA	NA	Cysltr1
NA	NA	P2ry10
NA	NA	Gm6377
NA	NA	Cenpi
NA	NA	Zcchc18
NA	NA	Nxt2
NA	NA	Pak3
NA	NA	Amot
NA	NA	Prdx4
NA	NA	Ap1s2
NA	NA	Gpm6b
NA	NA	Tlr7
