sharedLLM	MGspeLLM	MDMspeLLM
Tgfbr1	Erbin	Prdx6
Plin2	Plk2	Prrx1
Pgm1	Zfp131	Sell
Pde4b	Gnl3	Dusp27
Prdx1	Ero1l	Uck2
Marcksl1	Lgals3	Nuf2
Epha2	Ndrg2	Uap1
Lrpap1	Spata13	Olfml2b
Atp8a1	Ints6	Fcgr3
Spp1	Bnip3l	Slamf7
Arpc3	Egr3	Cd84
Hcar2	Esd	Slamf6
Hilpda	Card6	Ncstn
Gpnmb	Dab2	Slamf9
Clec4e	Osmr	Tagln2
Lag3	Dap	Slamf8
Klrb1b	Azin1	Ifi209
Zfp36	Trib1	Mndal
Fxyd5	Zfat	Ifi203
Saa3	Fam135b	Ifi205
Siglech	Lgals1	Kmo
Gde1	H1f0	Chml
Plk1	Kdelr3	Akt3
Adam8	Nfam1	Cnst
Tnfrsf26	Kmt2d	Sccpdh
Msr1	Acvrl1	Cdc42bpa
Lpl	Pkp2	H3f3a
Tpm4	Bcl6	Tmem63a
Hmox1	Fam162a	Lbr
Herpud1	Fstl1	Cenpf
Rrad	Nfkbiz	Batf3
Maml2	Col8a1	Pacc1
Dennd4a	Gbe1	Ppp2r5a
Il13ra1	Synj1	Rd3
Bgn	Dyrk1a	Plekhg1
Slc6a8	Thbs2	Fbxo5
Maged1	Chd1	Ulbp1
Ophn1	Pgp	Lrp11
Rnf128	Mrpl28	Adgb
Maged2	Fgd2	Rab32
NA	Ppp1r10	Stx11
NA	A530064D06Rik	Plagl1
NA	Plin3	Hivep2
NA	Tgif1	Ifngr1
NA	Emilin2	Il22ra2
NA	Cebpz	Slc18b1
NA	Egr1	Enpp1
NA	Prelid2	Arhgap18
NA	Ap3s1	Marcks
NA	Eno1b	Fyn
NA	Pdgfrb	Ccdc162
NA	Pmaip1	Sesn1
NA	Afg3l2	Cd24a
NA	Me2	Crybg1
NA	Cyb5a	Slc35f1
NA	Slc25a45	Pkib
NA	Prdx5	Smpdl3a
NA	Cd274	Vsir
NA	Il33	Sgpl1
NA	Ifit2	Macroh2a2
NA	Ifit1	Dna2
NA	Pgam1	Lrrtm3
NA	Pi4k2a	Reep3
NA	Scd2	Cdk1
NA	Frmd4a	Upb1
NA	Camk1d	Ggt5
NA	Slc25a25	Col6a1
NA	Itpripl1	Lrrc3
NA	Myl9	Agpat3
NA	Slco4a1	Prss57
NA	Pkia	Cnn2
NA	Tpd52	Polr2e
NA	Pag1	Sbno2
NA	Skil	Reep6
NA	Anxa5	Mob3a
NA	Mgarp	Dot1l
NA	Ccnl1	Pip5k1c
NA	Tlr2	Nfic
NA	Selenbp1	Chst11
NA	Ecm1	Nuak1
NA	Txnip	Rtcb
NA	Bcl10	Lta4h
NA	Grhpr	Socs2
NA	Stra6l	Btg1
NA	Col27a1	Dcn
NA	Tnc	Kitl
NA	Jun	Lyz2
NA	Mob3c	Tbc1d30
NA	Plk3	Gns
NA	Arid1a	Tbk1
NA	Eno1	Lrp1
NA	Tnfrsf9	Cd63
NA	Acox3	Tespa1
NA	Sod3	Rnf185
NA	0610040J01Rik	Tcn2
NA	Cxcl1	Dbnl
NA	Bmp2k	Zmiz2
NA	Sh2b3	Purb
NA	Mlxip	Myo1g
NA	Ubc	Ramp3
NA	Pcolce	Upp1
NA	Fam20c	Abca13
NA	Pan3	Fignl1
NA	N4bp2l2	Sertad2
NA	Col1a2	Bcl11a
NA	Impdh1	Ccdc88a
NA	Capg	Rps27a
NA	Anxa4	Lcp2
NA	Klf15	Hmmr
NA	Il17ra	Cyfip2
NA	Tpi1	Timd4
NA	Gapdh	Rack1
NA	Etnk1	Tgtp1
NA	Itpr2	Ifi47
NA	Fosb	Rmnd5b
NA	Trappc6a	D930048N14Rik
NA	Psmd8	Septin8
NA	Nfkbid	Kif3a
NA	Gpi1	Irf1
NA	Cd33	Pdlim4
NA	Ldha	Acsl6
NA	Spty2d1	Gpx3
NA	Htatip2	Ccdc69
NA	Mef2a	Gm2a
NA	Zfp710	Sparc
NA	Pcf11	Atox1
NA	Serpinh1	G3bp1
NA	Fchsd2	Zfp672
NA	Adm	Trim17
NA	Dkk3	Snap47
NA	Gprc5b	Natd1
NA	Rbbp6	Grap
NA	Arhgap17	Adora2b
NA	Aldoa	Trim16
NA	Prr14	Mfsd6l
NA	Bag3	Ctc1
NA	Bnip3	Aurkb
NA	Rnh1	Acap1
NA	Taldo1	Clec10a
NA	Eif4ebp1	Med11
NA	Gsr	Scimp
NA	Ppp1r3b	Wscd1
NA	Klf2	Pimreg
NA	Usp38	Spns3
NA	Dnajb1	Camkk1
NA	Ier2	Ncbp3
NA	Junb	Itgae
NA	Zfhx3	P2rx5
NA	Casp4	Hic1
NA	Mmp12	Cpd
NA	Mmp3	Traf4
NA	Mmp10	Rab34
NA	Mmp8	Unc119
NA	Icam1	Slc46a1
NA	Aplp2	Adap2
NA	Usp2	Ccl2
NA	Nnmt	Ccl7
NA	Stra6	Ccl12
NA	Pkm	Ccl8
NA	Spg21	Slfn5
NA	Anxa2	Slfn1
NA	Cgas	Ccl6
NA	Sh3bgrl2	Ccl3
NA	Higd1a	Ccl4
NA	Tfe3	Gdpd1
NA	Ddx3x	Tex14
NA	Zcchc12	Rnf43
NA	Cited1	Supt4a
NA	Pgk1	Tspoap1
NA	Gla	Trim25
NA	Tsc22d3	Tmem100
NA	NA	Tom1l1
NA	NA	Mbtd1
NA	NA	Spag9
NA	NA	Tob1
NA	NA	Abcc3
NA	NA	Spop
NA	NA	Ngfr
NA	NA	Mllt6
NA	NA	Plxdc1
NA	NA	Rara
NA	NA	Top2a
NA	NA	Ccr7
NA	NA	Stat5a
NA	NA	Stat3
NA	NA	Naglu
NA	NA	Ifi35
NA	NA	Grn
NA	NA	Itga2b
NA	NA	Fmnl1
NA	NA	Map3k14
NA	NA	Gosr2
NA	NA	Tanc2
NA	NA	Ccdc47
NA	NA	Cd79b
NA	NA	Kpna2
NA	NA	Pitpnc1
NA	NA	Abca9
NA	NA	Gprc5c
NA	NA	Cd300lb
NA	NA	Tmem104
NA	NA	Mfsd11
NA	NA	Sec14l1
NA	NA	Syngr2
NA	NA	Birc5
NA	NA	Timp2
NA	NA	Lgals3bp
NA	NA	Gaa
NA	NA	Chmp6
NA	NA	Actg1
NA	NA	Cbr2
NA	NA	Cd7
NA	NA	Sectm1a
NA	NA	Mfsd2b
NA	NA	Hs1bp3
NA	NA	Rhob
NA	NA	Wdr35
NA	NA	Ddx1
NA	NA	Ntsr2
NA	NA	Hpcal1
NA	NA	Rrm2
NA	NA	Sox11
NA	NA	Rps7
NA	NA	Sh3yl1
NA	NA	Sypl
NA	NA	Snx13
NA	NA	Ahr
NA	NA	Tspan13
NA	NA	Scin
NA	NA	Ifrd1
NA	NA	Snx6
